source;target;weight
Cheng Haoyu;Ebert Peter;4
Ebert Peter;Hasenfeld Patrick;4
Ebert Peter;Hickey Glenn;4
Ebert Peter;Hoekzema Kendra;3
Ebert Peter;Koren Sergey;4
Ebert Peter;Li Heng;4
Ebert Peter;Paten Benedict;5
Ebert Peter;Phillippy Adam M;4
Ebert Peter;Rausch Tobias;3
Ebert Peter;Rautiainen Mikko;3
Ebert Peter;Zody Michael C;3
Chaisson Mark J P;Ebert Peter;4
Dilthey Alexander T;Ebert Peter;3
Ebert Peter;Korbel Jan O;6
Ebert Peter;Eichler Evan E;6
Ebert Peter;Marschall Tobias;6
Audano Peter A;Ebler Jana;4
Audano Peter A;Chin Chen-Shan;3
Audano Peter A;Hickey Glenn;3
Audano Peter A;Paten Benedict;3
Audano Peter A;Rausch Tobias;3
Audano Peter A;Rautiainen Mikko;3
Audano Peter A;Zody Michael C;3
Audano Peter A;Dilthey Alexander T;3
Audano Peter A;Korbel Jan O;3
Audano Peter A;Eichler Evan E;3
Audano Peter A;Marschall Tobias;4
Ebler Jana;Porubsky David;3
Harvey William T;Porubsky David;5
Munson Katherine M;Porubsky David;4
Chin Chen-Shan;Porubsky David;3
Cheng Haoyu;Porubsky David;4
Hasenfeld Patrick;Porubsky David;4
Hickey Glenn;Porubsky David;4
Hoekzema Kendra;Porubsky David;4
Koren Sergey;Porubsky David;5
Li Heng;Porubsky David;4
Paten Benedict;Porubsky David;5
Phillippy Adam M;Porubsky David;5
Porubsky David;Rautiainen Mikko;4
Chaisson Mark J P;Porubsky David;4
Korbel Jan O;Porubsky David;5
Eichler Evan E;Porubsky David;7
Marschall Tobias;Porubsky David;5
Ebler Jana;Prodanov Timofey;3
Ebler Jana;Harvey William T;3
Ebler Jana;Munson Katherine M;3
Chin Chen-Shan;Ebler Jana;3
Ashraf Hufsah;Ebler Jana;3
Cheng Haoyu;Ebler Jana;3
Ebler Jana;Hickey Glenn;6
Ebler Jana;Hoekzema Kendra;3
Ebler Jana;Koren Sergey;3
Ebler Jana;Li Heng;4
Ebler Jana;Paten Benedict;6
Ebler Jana;Phillippy Adam M;3
Ebler Jana;Rausch Tobias;4
Ebler Jana;Rautiainen Mikko;5
Ebler Jana;Söylev Arda;3
Ebler Jana;Tsapalou Vasiliki;3
Ebler Jana;Zody Michael C;3
Chaisson Mark J P;Ebler Jana;3
Dilthey Alexander T;Ebler Jana;3
Ebler Jana;Korbel Jan O;5
Ebler Jana;Eichler Evan E;4
